Ticker,Name,Total_Score,Current_Price,Entry_Price,Target_1,Target_2,Target_3,Stop_Loss,Expected_Profit_2,Expected_Loss,Risk_Reward,Support,Resistance
AMD,"Advanced Micro Devices, Inc.",60,236.72999572753906,229.63,262.06,254.62,268.57,210.88,10.88,8.17,1.33,197.42,262.06
RTX,RTX Corporation,60,200.92999267578125,194.88,203.2,203.96,205.48,188.07,4.66,3.49,1.33,167.99,203.2
NVDA,NVIDIA Corporation,55,191.1300048828125,185.4,200.08,195.68,193.31,177.69,5.54,4.16,1.33,171.65,200.08
AVGO,Broadcom Inc.,50,331.29998779296875,321.36,407.45,346.76,357.7,302.31,7.9,5.93,1.33,319.16,407.45
LMT,Lockheed Martin Corporation,50,634.219970703125,565.45,615.67,601.36,644.61,538.51,6.35,4.76,1.33,441.0,615.67
XOM,Exxon Mobil Corporation,50,141.39999389648438,129.94,139.29,135.51,143.19,125.76,4.29,3.22,1.33,112.99,139.29
JPM,JPMorgan Chase & Co.,45,305.8900146484375,296.71,333.41,310.23,338.18,286.57,4.56,3.42,1.33,294.19,333.41
GOOGL,Alphabet Inc.,45,338.0,327.86,339.68,344.41,343.81,315.45,5.05,3.79,1.33,275.17,339.68
CVX,Chevron Corporation,45,176.89999389648438,164.93,172.27,171.08,175.65,160.32,3.73,2.8,1.33,147.15,172.27
BAC,Bank of America Corporation,40,53.20000076293945,51.6,56.99,53.81,57.6,49.94,4.28,3.22,1.33,50.86,56.99
MSFT,Microsoft Corporation,35,430.2900085449219,417.38,512.57,446.69,496.89,395.4,7.02,5.27,1.33,436.03,512.57
META,"Meta Platforms, Inc.",5,716.5,651.98,708.22,696.9,717.91,618.29,6.89,5.17,1.33,584.61,708.22
